cycle_id,label,image,h,disk,pl,workload,c,rr,runtime_s,rps,ttft_mean,tpot_mean,latency_mean,gpu_block,ext_block,gpu_tok,ext_tok,compute_tok,overall_tok,g2c_GB,c2g_GB,bench_log_path,status
ph3-c-baseline-qps4,lmbench baseline QPS=4,acc47dd9ee34,,,,lmbench,64,4,0,0.00,0,0.0,0,30.06,7.20,30.3,5.1,64.6,35.4,573,45,/results/ph3-c-baseline-qps4/bench.log,OK_PHASE3
ph3-c-best-qps4,lmbench best QPS=4,8d2360fb4879,1.0,0.25,100,lmbench,64,4,0,0.00,0,0.0,0,45.38,46.39,45.4,25.3,29.3,70.7,270,229,/results/ph3-c-best-qps4/bench.log,OK_PHASE3
ph3-c-baseline-qps8,lmbench baseline QPS=8,acc47dd9ee34,,,,lmbench,64,8,0,0.00,0,0.0,0,7.14,20.66,16.4,17.3,66.3,33.7,861,223,/results/ph3-c-baseline-qps8/bench.log,OK_PHASE3
ph3-c-best-qps8,lmbench best QPS=8,8d2360fb4879,1.0,0.25,100,lmbench,64,8,0,0.00,0,0.0,0,33.14,43.89,35.9,28.0,36.1,63.9,490,377,/results/ph3-c-best-qps8/bench.log,OK_PHASE3
ph3-c-baseline-qps16,lmbench baseline QPS=16,acc47dd9ee34,,,,lmbench,64,16,0,0.00,0,0.0,0,4.96,40.01,17.2,33.1,49.7,50.3,794,531,/results/ph3-c-baseline-qps16/bench.log,OK_PHASE3
ph3-c-best-qps16,lmbench best QPS=16,8d2360fb4879,1.0,0.25,100,lmbench,64,16,0,0.00,0,0.0,0,11.55,70.87,27.2,51.6,21.2,78.8,459,1087,/results/ph3-c-best-qps16/bench.log,OK_PHASE3
ph3-c-baseline-qps32,lmbench baseline QPS=32,acc47dd9ee34,,,,lmbench,64,32,0,0.00,0,0.0,0,7.03,35.21,16.4,28.8,54.8,45.2,851,452,/results/ph3-c-baseline-qps32/bench.log,OK_PHASE3
ph3-c-best-qps32,lmbench best QPS=32,8d2360fb4879,1.0,0.25,100,lmbench,64,32,0,0.00,0,0.0,0,2.97,75.41,18.4,61.7,19.9,80.1,477,1435,/results/ph3-c-best-qps32/bench.log,OK_PHASE3
ph3-c-baseline-qps64,lmbench baseline QPS=64,acc47dd9ee34,,,,lmbench,64,64,0,0.00,0,0.0,0,5.19,36.62,14.2,31.1,54.6,45.4,847,488,/results/ph3-c-baseline-qps64/bench.log,OK_PHASE3
ph3-c-best-qps64,lmbench best QPS=64,8d2360fb4879,1.0,0.25,100,lmbench,64,64,0,0.00,0,0.0,0,3.12,68.99,19.6,55.3,25.1,74.9,562,1224,/results/ph3-c-best-qps64/bench.log,OK_PHASE3
